relative_path,size_bytes,last_modified
file_assignment.py,4856,2025-04-29T10:56:04.566291
data_assignment.py,901,2025-04-29T09:58:26.072435
README.md,1006,2025-04-29T10:09:34.070368
outputs/op1.txt,143,2025-04-29T10:56:22.584112
outputs/op3.txt,387,2025-04-29T10:56:41.011952
outputs/sol2.png,26361,2025-04-29T10:05:38.921940
outputs/sol1.png,23159,2025-04-29T10:05:39.082988
outputs/directory_snapshot.csv,0,2025-04-29T10:58:20.081461
__pycache__/file_assignment.cpython-312.pyc,6482,2025-04-29T10:56:15.046769
__pycache__/data_assignment.cpython-312.pyc,1118,2025-04-29T10:00:05.765529
env/pyvenv.cfg,225,2025-04-29T09:59:04.580514
env/bin/activate,2158,2025-04-29T09:59:16.248635
env/bin/pip3,303,2025-04-29T09:59:15.981677
env/bin/pip3.12,303,2025-04-29T09:59:15.982677
env/bin/python3,8019136,2025-02-04T20:33:35
env/bin/python,8019136,2025-02-04T20:33:35
env/bin/activate.csh,980,2025-04-29T09:59:16.249635
env/bin/activate.fish,2255,2025-04-29T09:59:16.250635
env/bin/python3.12,8019136,2025-02-04T20:33:35
env/bin/pip,303,2025-04-29T09:59:15.981677
env/bin/Activate.ps1,9033,2025-04-29T09:59:16.249635
env/lib/python3.12/site-packages/pip/__main__.py,854,2025-04-29T09:59:11.976313
env/lib/python3.12/site-packages/pip/py.typed,286,2025-04-29T09:59:12.326257
env/lib/python3.12/site-packages/pip/__init__.py,355,2025-04-29T09:59:11.975313
env/lib/python3.12/site-packages/pip/__pip-runner__.py,1444,2025-04-29T09:59:11.976313
env/lib/python3.12/site-packages/pip/_internal/self_outdated_check.py,8378,2025-04-29T09:59:12.041302
env/lib/python3.12/site-packages/pip/_internal/__init__.py,515,2025-04-29T09:59:11.977313
env/lib/python3.12/site-packages/pip/_internal/pyproject.py,7152,2025-04-29T09:59:12.029304
env/lib/python3.12/site-packages/pip/_internal/main.py,340,2025-04-29T09:59:12.005308
env/lib/python3.12/site-packages/pip/_internal/cache.py,10370,2025-04-29T09:59:11.978312
env/lib/python3.12/site-packages/pip/_internal/exceptions.py,23634,2025-04-29T09:59:11.999309
env/lib/python3.12/site-packages/pip/_internal/wheel_builder.py,11801,2025-04-29T09:59:12.059299
env/lib/python3.12/site-packages/pip/_internal/build_env.py,10243,2025-04-29T09:59:11.977313
env/lib/python3.12/site-packages/pip/_internal/configuration.py,14006,2025-04-29T09:59:11.996310
env/lib/python3.12/site-packages/pip/_internal/utils/unpacking.py,8821,2025-04-29T09:59:12.054300
env/lib/python3.12/site-packages/pip/_internal/utils/setuptools_build.py,4435,2025-04-29T09:59:12.052300
env/lib/python3.12/site-packages/pip/_internal/utils/hashes.py,5118,2025-04-29T09:59:12.049301
env/lib/python3.12/site-packages/pip/_internal/utils/direct_url_helpers.py,3206,2025-04-29T09:59:12.046301
env/lib/python3.12/site-packages/pip/_internal/utils/egg_link.py,2463,2025-04-29T09:59:12.046301
env/lib/python3.12/site-packages/pip/_internal/utils/glibc.py,3113,2025-04-29T09:59:12.049301
env/lib/python3.12/site-packages/pip/_internal/utils/_jaraco_text.py,3351,2025-04-29T09:59:12.042302
env/lib/python3.12/site-packages/pip/_internal/utils/compat.py,1884,2025-04-29T09:59:12.044302
env/lib/python3.12/site-packages/pip/_internal/utils/filetypes.py,716,2025-04-29T09:59:12.048301
env/lib/python3.12/site-packages/pip/_internal/utils/wheel.py,4499,2025-04-29T09:59:12.055300
env/lib/python3.12/site-packages/pip/_internal/utils/logging.py,11603,2025-04-29T09:59:12.050301
env/lib/python3.12/site-packages/pip/_internal/utils/filesystem.py,5122,2025-04-29T09:59:12.048301
env/lib/python3.12/site-packages/pip/_internal/utils/urls.py,1759,2025-04-29T09:59:12.054300
env/lib/python3.12/site-packages/pip/_internal/utils/virtualenv.py,3456,2025-04-29T09:59:12.055300
env/lib/python3.12/site-packages/pip/_internal/utils/__init__.py,0,2025-04-29T09:59:12.042302
env/lib/python3.12/site-packages/pip/_internal/utils/misc.py,23623,2025-04-29T09:59:12.050301
env/lib/python3.12/site-packages/pip/_internal/utils/models.py,1193,2025-04-29T09:59:12.051301
env/lib/python3.12/site-packages/pip/_internal/utils/subprocess.py,9207,2025-04-29T09:59:12.053300
env/lib/python3.12/site-packages/pip/_internal/utils/_log.py,1015,2025-04-29T09:59:12.043302
env/lib/python3.12/site-packages/pip/_internal/utils/encoding.py,1169,2025-04-29T09:59:12.047301
env/lib/python3.12/site-packages/pip/_internal/utils/datetime.py,242,2025-04-29T09:59:12.045302
env/lib/python3.12/site-packages/pip/_internal/utils/entrypoints.py,3064,2025-04-29T09:59:12.047301
env/lib/python3.12/site-packages/pip/_internal/utils/compatibility_tags.py,5377,2025-04-29T09:59:12.044302
env/lib/python3.12/site-packages/pip/_internal/utils/packaging.py,2108,2025-04-29T09:59:12.051301
env/lib/python3.12/site-packages/pip/_internal/utils/temp_dir.py,9312,2025-04-29T09:59:12.053300
env/lib/python3.12/site-packages/pip/_internal/utils/deprecation.py,3627,2025-04-29T09:59:12.045302
env/lib/python3.12/site-packages/pip/_internal/utils/appdirs.py,1665,2025-04-29T09:59:12.043302
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/deprecation.cpython-312.pyc,4235,2025-04-29T09:59:12.903165
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/entrypoints.cpython-312.pyc,4042,2025-04-29T09:59:12.912163
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/urls.cpython-312.pyc,2454,2025-04-29T09:59:12.971154
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/hashes.cpython-312.pyc,7603,2025-04-29T09:59:12.923162
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/unpacking.cpython-312.pyc,11157,2025-04-29T09:59:12.969154
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/filesystem.cpython-312.pyc,7507,2025-04-29T09:59:12.916162
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/setuptools_build.cpython-312.pyc,4599,2025-04-29T09:59:12.952157
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/datetime.cpython-312.pyc,733,2025-04-29T09:59:12.901165
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/filetypes.cpython-312.pyc,1213,2025-04-29T09:59:12.917162
env/lib/python3.12/site-packages/pip/_internal/utils/__pycache__/packaging.cpython-312.pyc,2632,2025-04-29T09:59:12.950157
