title,published_on,author_name,birth_year
Create.,2011-02-13,Kevin Zavala,1904
Mother benefit cup next nothing oil.,1910-05-08,Madison Ortiz,1931
Sound anyone just there appear strategy either part situation.,1946-01-03,Amber Pierce,1963
Light or business get.,1981-09-14,Alec Sanchez,1990
Stop you people.,1905-12-13,Donna Roberts,1946
Drive message become.,1995-06-25,Cory Richard,1994
Sign station action world once.,1925-08-19,Erik Griffin,1925
Manage choose benefit beautiful star nature knowledge.,1982-11-09,Richard Hodges,1964
Cup more indicate I quality.,1904-04-17,Matthew Coleman,1965
Reach memory bring art whose item computer job force lot.,1982-09-29,Gilbert Knight,1927
If social new one you.,1924-01-30,Terry Jackson,1961
Recently less population special measure high whole seem gas.,1975-07-04,Terri Lewis,1956
Course your gun.,1940-04-18,Brenda Rogers,1926
Religious else as learn.,2013-05-03,Hunter Conway,1977
Ten like perhaps ever.,1965-12-08,Joshua Kelley,1944
Create address impact statement accept.,1901-07-14,Cheryl Carter,1968
Accept sound treatment easy safe history begin.,1951-05-03,John Johnson,1927
Gas smile bank like we.,1937-05-11,Austin Brown,1906
Once push perhaps develop eye head thousand.,1952-04-26,Michelle Anderson,1904
Help beyond court wear serve figure after hope friend.,1950-05-24,Andre Barron,1954
New drive them role fire better nor play.,2012-12-15,Robert Lynn,1962
Beyond question price point skill indicate.,2010-02-17,Brenda Yoder,1974
Want year present result wait president.,1938-08-13,David Sampson,1954
Body.,1957-05-21,Cole Boyd,1986
Stuff meet policy.,1961-06-03,Derek Case,1969
Thing decision join land important travel behavior fall them.,1915-12-14,David Donaldson,1995
Treatment one share.,1998-12-02,Adrian Kerr,1903
Degree common information support.,1997-08-23,Zachary Harrison,1937
Wall movie thus hour animal language lay race.,1918-11-03,Tina Carter,1954
School should guess.,1972-04-01,Omar Hart,1980
