title,published_on,author_name,birth_year
Temporary Foreign exactly.,1990-11-21,Charles Moore,1960
Temporary It career significant.,1925-07-06,Jeremy Mendez,1941
Temporary We free.,1913-07-08,Ryan Brewer,1997
Temporary Bag discover end.,1960-11-07,Catherine Jackson,1925
Temporary Bank hold.,1958-09-22,Robyn Williams,1995
Temporary If loss what.,1911-01-01,Brian Cross,1947
Temporary Everybody walk my.,1902-01-23,Carol Rodriguez,1958
Temporary Federal onto board.,1962-12-02,Brian Meadows,1997
Temporary Mean physical.,1918-11-02,Francisco Graham,1998
Temporary In apply truth.,1903-09-06,Trevor Perry,1953
